match_id,edition_year,stage,team1_name,team2_name,score1,score2,goal_difference,match_winner,venue,city,country,match_date,notes
28,1958,Group Stage,France,Paraguay,7,3,4,France,Idrottsparken,Norrköping,Sweden,1958-06-08,Fontaine hat-trick
29,1958,Quarter-final,France,Northern Ireland,4,0,4,France,Ullevi,Gothenburg,Sweden,1958-06-19,
30,1958,Semi-final,Brazil,France,5,2,3,Brazil,Ullevi,Gothenburg,Sweden,1958-06-24,
31,1958,Semi-final,Sweden,West Germany,3,1,2,Sweden,Ullevi,Gothenburg,Sweden,1958-06-24,
32,1958,3rd Place,France,West Germany,6,3,3,France,Ullevi,Gothenburg,Sweden,1958-06-28,Fontaine scores 4
33,1958,Final,Brazil,Sweden,5,2,3,Brazil,Råsunda,Stockholm,Sweden,1958-06-29,Pelé scores 2 at 17
34,1962,Group Stage,Soviet Union,Yugoslavia,2,0,2,Soviet Union,Estadio El Teniente,Rancagua,Chile,1962-05-31,
35,1962,Group Stage,Italy,Chile,0,0,0,Draw,Estadio Nacional,Santiago,Chile,1962-06-02,Battle of Santiago
36,1962,Quarter-final,Brazil,England,3,1,2,Brazil,Estadio Sausalito,Viña del Mar,Chile,1962-06-10,
37,1962,Semi-final,Brazil,Chile,4,2,2,Brazil,Estadio Nacional,Santiago,Chile,1962-06-13,
38,1962,Semi-final,Czechoslovakia,Yugoslavia,3,1,2,Czechoslovakia,Estadio El Teniente,Vina del Mar,Chile,1962-06-13,
39,1962,3rd Place,Chile,Yugoslavia,1,0,1,Chile,Estadio Nacional,Santiago,Chile,1962-06-16,
40,1962,Final,Brazil,Czechoslovakia,3,1,2,Brazil,Estadio Nacional,Santiago,Chile,1962-06-17,
41,1966,Group Stage,England,Uruguay,0,0,0,Draw,Wembley,London,England,1966-07-11,
42,1966,Group Stage,North Korea,Italy,1,0,1,North Korea,Ayresome Park,Middlesbrough,England,1966-07-19,Biggest WC upset
43,1966,Quarter-final,North Korea,Portugal,3,5,2,Portugal,Goodison Park,Liverpool,England,1966-07-23,Eusébio scores 4
44,1966,Quarter-final,England,Argentina,1,0,1,England,Wembley,London,England,1966-07-23,
45,1966,Semi-final,England,Portugal,2,1,1,England,Wembley,London,England,1966-07-26,
46,1966,Semi-final,West Germany,Soviet Union,2,1,1,West Germany,Goodison Park,Liverpool,England,1966-07-25,
47,1966,3rd Place,Portugal,Soviet Union,2,1,1,Portugal,Wembley,London,England,1966-07-28,
48,1966,Final,England,West Germany,4,2,2,England,Wembley,London,England,1966-07-30,Geoff Hurst hat-trick
49,1970,Group Stage,Brazil,Czechoslovakia,4,1,3,Brazil,Estadio Jalisco,Guadalajara,Mexico,1970-06-03,
50,1970,Group Stage,West Germany,Bulgaria,3,10,7,Bulgaria,Estadio Nou Camp,León,Mexico,1970-06-02,
51,1970,Quarter-final,Brazil,Peru,4,2,2,Brazil,Estadio Jalisco,Guadalajara,Mexico,1970-06-14,
52,1970,Quarter-final,West Germany,England,3,2,1,West Germany,Estadio Nou Camp,León,Mexico,1970-06-14,AET - England 2-0 up
53,1970,Semi-final,Italy,West Germany,4,3,1,Italy,Estadio Azteca,Mexico City,Mexico,1970-06-17,Game of the Century AET
54,1970,Semi-final,Brazil,Uruguay,3,1,2,Brazil,Estadio Jalisco,Guadalajara,Mexico,1970-06-17,
55,1970,3rd Place,West Germany,Uruguay,1,0,1,West Germany,Estadio Azteca,Mexico City,Mexico,1970-06-20,
56,1970,Final,Brazil,Italy,4,1,3,Brazil,Estadio Azteca,Mexico City,Mexico,1970-06-21,Brazil keep the Jules Rimet
57,1974,Group Stage,East Germany,West Germany,1,0,1,East Germany,Volksparkstadion,Hamburg,West Germany,1974-06-22,Only time they met
58,1974,Group Stage,Brazil,Yugoslavia,0,0,0,Draw,Olympiastadion,Berlin,West Germany,1974-06-18,
59,1974,Semi-final Round,Netherlands,Brazil,2,0,2,Netherlands,Westfalenstadion,Dortmund,West Germany,1974-07-03,
60,1974,Semi-final Round,West Germany,Poland,1,0,1,West Germany,Olympiastadion,Frankfurt,West Germany,1974-07-03,
61,1974,3rd Place,Poland,Brazil,1,0,1,Poland,Olympiastadion,Munich,West Germany,1974-07-06,
62,1974,Final,West Germany,Netherlands,2,1,1,West Germany,Olympiastadion,Munich,West Germany,1974-07-07,
63,1978,Group Stage,Argentina,Hungary,2,1,1,Argentina,El Monumental,Buenos Aires,Argentina,1978-06-02,
64,1978,Group Stage,Italy,Argentina,1,0,1,Italy,El Monumental,Buenos Aires,Argentina,1978-06-10,
65,1978,Group Stage,Argentina,Peru,6,0,6,Argentina,El Monumental,Buenos Aires,Argentina,1978-06-21,Controversial result
66,1978,3rd Place,Brazil,Italy,2,1,1,Brazil,El Monumental,Buenos Aires,Argentina,1978-06-24,
67,1978,Final,Argentina,Netherlands,3,1,2,Argentina,El Monumental,Buenos Aires,Argentina,1978-06-25,AET - Kempes 2
68,1982,Group Stage,Algeria,West Germany,2,1,1,Algeria,El Molinon,Gijón,Spain,1982-06-16,Biggest WC upset 1982
69,1982,Group Stage,West Germany,Austria,1,0,1,West Germany,El Molinon,Gijón,Spain,1982-06-25,Disgrace of Gijón
70,1982,Group Stage,Brazil,Argentina,3,1,2,Brazil,Sarriá,Barcelona,Spain,1982-06-02,
71,1982,Quarter-final,West Germany,France,0,0,0,Draw,Ramón Sánchez Pizjuán,Seville,Spain,1982-07-08,First WC shootout - Germany win 5-4 pens
72,1982,3rd Place,Poland,France,3,2,1,Poland,Estadio Metropolitano,Madrid,Spain,1982-07-10,
73,1982,Final,Italy,West Germany,3,1,2,Italy,Bernabéu,Madrid,Spain,1982-07-11,Rossi wins Golden Boot
74,1986,Group Stage,Denmark,Uruguay,6,1,5,Denmark,Estadio Neza,Nezahualcóyotl,Mexico,1986-06-08,
75,1986,Round of 16,Belgium,Soviet Union,4,3,1,Belgium,Estadio Jalisco,Guadalajara,Mexico,1986-06-15,AET
76,1986,Quarter-final,Argentina,England,2,1,1,Argentina,Estadio Azteca,Mexico City,Mexico,1986-06-22,Hand of God + Goal of Century
77,1986,Quarter-final,France,Brazil,0,0,0,Draw,Estadio Jalisco,Guadalajara,Mexico,1986-06-21,France win 4-3 pens
78,1986,Semi-final,Argentina,Belgium,2,0,2,Argentina,Estadio Azteca,Mexico City,Mexico,1986-06-25,Maradona 2 goals
79,1986,Semi-final,West Germany,France,2,0,2,West Germany,Estadio Jalisco,Guadalajara,Mexico,1986-06-25,
80,1986,3rd Place,France,Belgium,4,2,2,France,Estadio Cuauhtémoc,Puebla,Mexico,1986-06-28,
81,1986,Final,Argentina,West Germany,3,2,1,Argentina,Estadio Azteca,Mexico City,Mexico,1986-06-29,Maradona's WC
82,1990,Group Stage,Argentina,Cameroon,0,1,1,Cameroon,San Siro,Milan,Italy,1990-06-08,Greatest WC upset 1990
83,1990,Group Stage,Colombia,West Germany,1,1,0,Draw,Stadio Giuseppe Meazza,Milan,Italy,1990-06-19,Rene Higuita error
84,1990,Round of 16,Ireland,Romania,0,0,0,Draw,Stadio Luigi Ferraris,Genoa,Italy,1990-06-25,Ireland win 5-4 pens
85,1990,Quarter-final,West Germany,Czechoslovakia,1,0,1,West Germany,Stadio delle Alpi,Turin,Italy,1990-07-01,
86,1990,Quarter-final,Argentina,Yugoslavia,0,0,0,Draw,Stadio Marc Antonio Bentegodi,Florence,Italy,1990-07-01,Argentina win 3-2 pens
87,1990,Semi-final,West Germany,England,1,1,0,Draw,Stadio delle Alpi,Turin,Italy,1990-07-04,Germany win 4-3 pens - Gazza cries
88,1990,Semi-final,Argentina,Italy,1,1,0,Draw,San Paolo,Naples,Italy,1990-07-03,Argentina win 4-3 pens
89,1990,3rd Place,Italy,England,2,1,1,Italy,Stadio San Nicola,Bari,Italy,1990-07-07,Schillaci Golden Boot
90,1990,Final,West Germany,Argentina,1,0,1,West Germany,Stadio Olimpico,Rome,Italy,1990-07-08,Penalty - Brehme
91,1994,Group Stage,Bolivia,Germany,0,1,1,Germany,Pontiac Silverdome,Detroit,USA,1994-06-17,First indoor WC match
92,1994,Group Stage,Russia,Cameroon,6,1,5,Russia,Stanford Stadium,Palo Alto,USA,1994-06-28,Salenko 5 goals
93,1994,Group Stage,Brazil,Russia,3,0,3,Brazil,Stanford Stadium,Stanford,USA,1994-06-28,
94,1994,Quarter-final,Brazil,Netherlands,1,0,1,Brazil,Cotton Bowl,Dallas,USA,1994-07-09,Bebeto cradle celebration
95,1994,Semi-final,Brazil,Sweden,1,0,1,Brazil,Rose Bowl,Pasadena,USA,1994-07-13,
96,1994,Semi-final,Italy,Bulgaria,2,1,1,Italy,Giants Stadium,New Jersey,USA,1994-07-13,
97,1994,3rd Place,Sweden,Bulgaria,4,0,4,Sweden,Rose Bowl,Pasadena,USA,1994-07-16,
98,1994,Final,Brazil,Italy,0,0,0,Draw,Rose Bowl,Pasadena,USA,1994-07-17,Brazil win 3-2 pens - Baggio misses
99,1998,Group Stage,Brazil,Scotland,2,1,1,Brazil,Stade de France,Saint-Denis,France,1998-06-10,
100,1998,Group Stage,Nigeria,Spain,3,2,1,Nigeria,Stade de la Mosson,Montpellier,France,1998-06-13,
101,1998,Round of 16,Argentina,England,2,2,0,Draw,Stade Geoffroy-Guichard,Saint-Étienne,France,1998-06-30,Beckham sent off - Argentina win 4-3 pens
102,1998,Round of 16,France,Paraguay,1,0,1,France,Félix Bollaert,Lens,France,1998-06-28,AET - Blanc golden goal
103,1930,Group Stage,Uruguay,Peru,1,0,1,Uruguay,Estadio Centenario,Montevideo,Uruguay,1930-07-18,
104,1930,Group Stage,Argentina,USA,6,3,3,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-26,
105,1934,Round of 16,Italy,USA,7,1,6,Italy,PNF Stadium,Rome,Italy,1934-05-27,
106,1934,Round of 16,Germany,Belgium,5,2,3,Germany,PNF Stadium,Florence,Italy,1934-05-27,
107,1934,3rd Place,Germany,Austria,3,2,1,Germany,Stadio Bentegodi,Naples,Italy,1934-06-07,
108,1938,Round of 16,Italy,Norway,2,1,1,Italy,Stade de Gerland,Lyon,France,1938-06-05,AET
109,1938,3rd Place,Brazil,Sweden,4,2,2,Brazil,Stade de Bordeaux,Bordeaux,France,1938-06-19,
110,1982,Semi-final,Italy,Poland,2,0,2,Italy,Camp Nou,Barcelona,Spain,1982-07-08,
111,1998,Quarter-final,Netherlands,Argentina,2,1,1,Netherlands,Stade Vélodrome,Marseille,France,1998-07-04,Bergkamp goal of tournament
112,1998,Quarter-final,France,Italy,0,0,0,Draw,Stade de France,Saint-Denis,France,1998-07-03,France win 4-3 pens
113,1998,Semi-final,France,Croatia,2,1,1,France,Stade de France,Saint-Denis,France,1998-07-08,
114,1998,Semi-final,Brazil,Netherlands,1,1,0,Draw,Stade Vélodrome,Marseille,France,1998-07-07,Brazil win 4-2 pens
115,1998,3rd Place,Croatia,Netherlands,2,1,1,Croatia,Parc des Princes,Paris,France,1998-07-11,
116,1998,Final,France,Brazil,3,0,3,France,Stade de France,Saint-Denis,France,1998-07-12,Ronaldo fit? France dominate
117,2002,Group Stage,Senegal,France,1,0,1,Senegal,Seoul World Cup Stadium,Seoul,South Korea,2002-05-31,Defending champions out in groups
118,2002,Group Stage,South Korea,Portugal,2,0,2,South Korea,Suwon World Cup Stadium,Suwon,South Korea,2002-06-14,
119,2002,Round of 16,South Korea,Italy,2,1,1,South Korea,Daejeon World Cup Stadium,Daejeon,South Korea,2002-06-18,AET - Ahn golden goal
120,2002,Quarter-final,South Korea,Spain,0,0,0,Draw,Gwangju World Cup Stadium,Gwangju,South Korea,2002-06-22,South Korea win 5-3 pens
121,2002,Quarter-final,Brazil,England,2,1,1,Brazil,Shizuoka Stadium,Shizuoka,Japan,2002-06-21,Ronaldinho free kick
122,2002,Semi-final,Brazil,Turkey,1,0,1,Brazil,Saitama Stadium,Saitama,Japan,2002-06-26,
123,2002,Semi-final,Germany,South Korea,1,0,1,Germany,Seoul World Cup Stadium,Seoul,South Korea,2002-06-25,
124,2002,3rd Place,Turkey,South Korea,3,2,1,Turkey,Daegu World Cup Stadium,Daegu,South Korea,2002-06-29,
125,2002,Final,Brazil,Germany,2,0,2,Brazil,Yokohama International,Yokohama,Japan,2002-06-30,Ronaldo 2 goals
126,2006,Group Stage,Germany,Costa Rica,4,2,2,Germany,Allianz Arena,Munich,Germany,2006-06-09,Opening match
127,2006,Group Stage,Australia,Japan,3,1,2,Australia,Fritz Walter Stadion,Kaiserslautern,Germany,2006-06-12,
128,2006,Round of 16,Italy,Australia,1,0,1,Italy,Fritz Walter Stadion,Kaiserslautern,Germany,2006-06-26,AET Totti pen
129,2006,Round of 16,Portugal,Netherlands,1,0,1,Portugal,Allianz Arena,Nuremberg,Germany,2006-06-25,Battle of Nuremberg - 4 red cards
130,2006,Quarter-final,Italy,Ukraine,3,0,3,Italy,Olympiastadion,Hamburg,Germany,2006-06-30,Toni 2 goals
131,2010,Round of 16,USA,Ghana,1,2,1,Ghana,Royal Bafokeng,Rustenburg,South Africa,2010-06-26,AET
132,2010,Round of 16,England,Germany,1,4,3,Germany,Free State Stadium,Bloemfontein,South Africa,2010-06-27,Lampard ghost goal
133,2010,Quarter-final,Argentina,Germany,0,4,4,Germany,Cape Town Stadium,Cape Town,South Africa,2010-07-03,
134,2010,Quarter-final,Netherlands,Brazil,2,1,1,Netherlands,Nelson Mandela Bay,Port Elizabeth,South Africa,2010-07-02,Robben goal
135,2010,Semi-final,Netherlands,Uruguay,3,2,1,Netherlands,Cape Town Stadium,Cape Town,South Africa,2010-07-06,
136,2010,Semi-final,Spain,Germany,1,0,1,Spain,Moses Mabhida,Durban,South Africa,2010-07-07,Puyol header
137,2010,3rd Place,Uruguay,Germany,2,3,1,Germany,Nelson Mandela Bay,Port Elizabeth,South Africa,2010-07-10,Forlan Golden Ball
138,2014,Quarter-final,Argentina,Belgium,0,0,0,Draw,Estadio Nacional,Brasília,Brazil,2014-07-05,Higuaín - Argentina win 1-0
139,2014,Quarter-final,Germany,France,1,0,1,Germany,Maracanã,Rio de Janeiro,Brazil,2014-07-04,Hummels header
140,2014,Semi-final,Brazil,Germany,1,7,6,Germany,Estadio Mineirão,Belo Horizonte,Brazil,2014-07-08,Mineirazo - biggest WC shock
141,2014,Semi-final,Argentina,Netherlands,0,0,0,Draw,Arena Corinthians,São Paulo,Brazil,2014-07-09,Argentina win 4-2 pens
142,2014,3rd Place,Brazil,Netherlands,0,3,3,Netherlands,Estadio Nacional,Brasília,Brazil,2014-07-12,
143,2014,Final,Germany,Argentina,1,0,1,Germany,Maracanã,Rio de Janeiro,Brazil,2014-07-13,AET - Götze 113th min
144,2018,Group Stage,Russia,Saudi Arabia,5,0,5,Russia,Luzhniki,Moscow,Russia,2018-06-14,Opening match
145,2018,Semi-final,Croatia,England,2,1,1,Croatia,Luzhniki,Moscow,Russia,2018-07-11,AET - Mandzukic
146,2018,3rd Place,Belgium,England,2,0,2,Belgium,Saint Petersburg,St Petersburg,Russia,2018-07-14,
147,2018,Final,France,Croatia,4,2,2,France,Luzhniki,Moscow,Russia,2018-07-15,Mbappé scores - youngest since Pelé
148,2022,Group Stage,Qatar,Ecuador,0,2,2,Ecuador,Al Bayt Stadium,Al Khor,Qatar,2022-11-20,Opening match - Qatar humbled at home
149,2022,Group Stage,Saudi Arabia,Argentina,2,1,1,Saudi Arabia,Lusail Stadium,Lusail,Qatar,2022-11-22,Biggest WC upset 2022
150,2022,Group Stage,Germany,Japan,1,2,1,Japan,Khalifa International,Al Rayyan,Qatar,2022-11-23,
151,2022,Quarter-final,Morocco,Portugal,1,0,1,Morocco,Al Thumama Stadium,Doha,Qatar,2022-12-10,En-Nesyri - historic
152,2022,Quarter-final,France,England,2,1,1,France,Al Bayt Stadium,Al Khor,Qatar,2022-12-10,Kane pen miss
153,2022,Semi-final,Argentina,Croatia,3,0,3,Argentina,Lusail Stadium,Lusail,Qatar,2022-12-13,Messi pen + Álvarez 2
154,2022,Semi-final,France,Morocco,2,0,2,France,Al Bayt Stadium,Al Khor,Qatar,2022-12-14,
155,2022,3rd Place,Croatia,Morocco,2,1,1,Croatia,Khalifa International,Al Rayyan,Qatar,2022-12-17,
156,2006,Quarter-final,Germany,Argentina,1,1,0,Draw,Olympiastadion,Berlin,Germany,2006-06-30,Germany win 4-2 pens
157,2006,Semi-final,Italy,Germany,2,0,2,Italy,Signal Iduna Park,Dortmund,Germany,2006-07-04,Grosso + Del Piero AET injury time
158,2006,Semi-final,Portugal,France,0,1,1,France,Allianz Arena,Munich,Germany,2006-07-05,Zidane pen
159,2006,3rd Place,Germany,Portugal,3,1,2,Germany,Gottlieb-Daimler-Stadion,Stuttgart,Germany,2006-07-08,
160,2006,Final,Italy,France,1,1,0,Draw,Olympiastadion,Berlin,Germany,2006-07-09,Zidane headbutt - Italy win 5-3 pens
161,2010,Group Stage,South Africa,Mexico,1,1,0,Draw,Soccer City,Johannesburg,South Africa,2010-06-11,First WC in Africa
162,2010,Group Stage,England,USA,1,1,0,Draw,Royal Bafokeng,Rustenburg,South Africa,2010-06-12,Green howler
163,2010,Group Stage,Germany,Australia,4,0,4,Germany,Moses Mabhida,Durban,South Africa,2010-06-13,
164,2010,Final,Spain,Netherlands,1,0,1,Spain,Soccer City,Johannesburg,South Africa,2010-07-11,AET - Iniesta
165,2014,Group Stage,Brazil,Croatia,3,1,2,Brazil,Arena de São Paulo,São Paulo,Brazil,2014-06-12,Opening - OG + Neymar 2
166,2014,Group Stage,Spain,Netherlands,1,5,4,Netherlands,Arena Fonte Nova,Salvador,Brazil,2014-06-13,Defending champs thrashed
167,2014,Group Stage,Uruguay,England,2,1,1,Uruguay,Arena Corinthians,São Paulo,Brazil,2014-06-19,Suárez 2
168,2014,Round of 16,Colombia,Uruguay,2,0,2,Colombia,Maracanã,Rio de Janeiro,Brazil,2014-06-28,Suárez bites Chiellini
169,2014,Round of 16,Germany,Algeria,2,1,1,Germany,Estadio Beira-Rio,Porto Alegre,Brazil,2014-06-30,AET
170,2018,Group Stage,Germany,Mexico,0,1,1,Mexico,Luzhniki,Moscow,Russia,2018-06-17,Defending champs shocked
171,2018,Group Stage,Spain,Portugal,3,3,0,Draw,Fisht Olympic,Sochi,Russia,2018-06-15,Ronaldo hat-trick
172,2018,Round of 16,Argentina,France,1,3,2,France,Kazan Arena,Kazan,Russia,2018-06-30,Mbappé double - Pavard screamer
173,2018,Round of 16,Spain,Russia,1,1,0,Draw,Luzhniki,Moscow,Russia,2018-07-01,Russia win 4-3 pens
174,2018,Round of 16,Brazil,Mexico,2,0,2,Brazil,Samara Arena,Samara,Russia,2018-07-02,Neymar + Firmino
175,2018,Quarter-final,Russia,Croatia,2,2,0,Draw,Fisht Olympic,Sochi,Russia,2018-07-07,Croatia win 4-3 pens
176,2018,Quarter-final,Belgium,Brazil,2,1,1,Belgium,Kazan Arena,Kazan,Russia,2018-07-06,De Bruyne assist + Chadli goal
177,2018,Semi-final,France,Belgium,1,0,1,France,Saint Petersburg,St Petersburg,Russia,2018-07-10,Umtiti header
178,2022,Group Stage,Spain,Japan,1,2,1,Japan,Khalifa International,Al Rayyan,Qatar,2022-12-01,
179,2022,Group Stage,Germany,Costa Rica,4,2,2,Germany,Al Bayt Stadium,Al Khor,Qatar,2022-12-01,Germany out despite winning
180,2022,Round of 16,Morocco,Spain,0,0,0,Draw,Education City Stadium,Al Rayyan,Qatar,2022-12-06,Morocco win 3-0 pens
181,2022,Round of 16,France,Poland,3,1,2,France,Al Thumama Stadium,Doha,Qatar,2022-12-04,Mbappé double
182,2022,Round of 16,Netherlands,USA,3,1,2,Netherlands,Khalifa International,Al Rayyan,Qatar,2022-12-03,
183,2022,Final,Argentina,France,3,3,0,Draw,Lusail Stadium,Lusail,Qatar,2022-12-18,AET - Argentina win 4-2 pens - GOAT final
