team_key,team_name,group_letter,confederation,fifa_rank,coach,best_wc_result,debut_2026,effective_start_date,effective_end_date,current_flag,version_number,created_at
25,Belgium,G,UEFA,9,Domenico Tedesco,Semi-finals (2018),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
26,Egypt,G,CAF,29,Hossam El-Badry,Round of 16 (1934),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
27,Iran,G,AFC,21,Amir Ghalenoei,Group stage (6 apps),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
28,New Zealand,G,OFC,95,Darren Bazeley,"Group stage (1982,2010)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
29,Spain,H,UEFA,2,Luis de la Fuente,Winners (2010),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
30,Cape Verde,H,CAF,70,Pedro Brito,First appearance,True,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
31,Saudi Arabia,H,AFC,57,Roberto Mancini,Round of 16 (1994),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
32,Uruguay,H,CONMEBOL,17,Marcelo Bielsa,"Winners (1930,1950)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
33,France,I,UEFA,1,Didier Deschamps,"Winners (1998,2018)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
34,Senegal,I,CAF,14,Aliou Cissé,Quarter-finals (2002),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
35,Norway,I,UEFA,44,Ståle Solbakken,"Round of 16 (1994,1998)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
36,Iraq,I,AFC,61,Graham Arnold,Group stage (1986),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
37,Argentina,J,CONMEBOL,3,Lionel Scaloni,"Winners (1978,1986,2022)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
38,Algeria,J,CAF,36,Vladimir Petkovic,Round of 16 (2014),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
39,Austria,J,UEFA,23,Ralf Rangnick,Third place (1954),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
40,Jordan,J,AFC,68,Hussain Ammouta,First appearance,True,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
41,Portugal,K,UEFA,5,Roberto Martínez,"Semi-finals (1966,2006)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
42,DR Congo,K,CAF,51,Sébastien Desabre,Group stage (1974),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
43,Uzbekistan,K,AFC,62,Srecko Katanec,First appearance,True,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
44,Colombia,K,CONMEBOL,13,Néstor Lorenzo,Quarter-finals (2014),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
45,England,L,UEFA,4,Thomas Tuchel,Winners (1966),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
46,Croatia,L,UEFA,11,Zlatko Dalić,Runner-up (2018),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
47,Ghana,L,CAF,65,Otto Addo,Quarter-finals (2010),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
48,Panama,L,CONCACAF,53,Thomas Christiansen,Group stage (2018),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
9,Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",False,2026-07-15,2026-07-14,False,1,2026-07-15 14:37:37.669673
17,Germany,E,UEFA,10,Julian Nagelsmann,"Winners (1954,1974,1990,2014)",False,2026-07-15,2026-07-14,False,1,2026-07-15 14:37:37.669673
49,Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",False,2026-07-15,2026-07-15,False,2,2026-07-15 14:45:15.729044
50,Germany,E,UEFA,10,Jurgen Klopp,"Winners (1954,1974,1990,2014)",False,2026-07-15,2026-07-15,False,2,2026-07-15 14:45:15.729044
51,Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",False,2026-07-16,2026-07-15,False,3,2026-07-16 06:34:25.485950
52,Germany,E,UEFA,10,Julian Nagelsmann,"Winners (1954,1974,1990,2014)",False,2026-07-16,2026-07-15,False,3,2026-07-16 06:34:25.485950
53,Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",False,2026-07-16,2026-07-20,False,4,2026-07-16 06:35:49.031728
54,Germany,E,UEFA,10,Jurgen Klopp,"Winners (1954,1974,1990,2014)",False,2026-07-16,2026-07-20,False,4,2026-07-16 06:35:49.031728
55,Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",False,2026-07-21,2026-07-20,False,5,2026-07-21 09:09:15.622857
57,Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",False,2026-07-21,9999-12-31,True,6,2026-07-21 09:11:18.955485
56,Germany,E,UEFA,10,Julian Nagelsmann,"Winners (1954,1974,1990,2014)",False,2026-07-21,2026-07-20,False,5,2026-07-21 09:09:15.622857
58,Germany,E,UEFA,10,Jurgen Klopp,"Winners (1954,1974,1990,2014)",False,2026-07-21,9999-12-31,True,6,2026-07-21 09:11:18.955485
